state,abbr,parent,arrests,population,legal
USA,,,,,
Alabama,AL,USA,119,5024279,1
Alaska,AK,USA,90,733391,2
Arizona,AR,USA,5033,7151502,2
Arkansas,AZ,USA,5699,3011524,1
California,CA,USA,2711,39538223,2
Colorado,CO,USA,1464,5773714,2
Connecticut,CT,USA,858,3605944,2
District of Columbia,DC,USA,210,989948,1
Delaware,DE,USA,549,689545,2
Florida,FL,USA,16,21538187,1
Georgia,GA,USA,685,10711908,1
Hawaii,HI,USA,217,1455271,1
Iowa,IA,USA,4214,1839106,0
Idaho,ID,USA,4105,12812508,2
Illinois,IL,USA,140,6785528,1
Indiana,IN,USA,4436,3190369,1
Kansas,KS,USA,4360,2937880,0
Kentucky,KY,USA,2185,4505836,1
Louisiana,LA,USA,12065,4657757,1
Massachusetts,MA,USA,132,1362359,2
Maryland,MD,USA,1072,6177224,1
Maine,ME,USA,225,7029917,2
Michigan,MI,USA,422,10077331,2
Minnesota,MN,USA,4739,5706494,1
Missouri,MO,USA,10650,2961279,1
Mississippi,MS,USA,2991,6154913,1
Montana,MT,USA,751,1084225,2
North Carolina,NC,USA,12307,1961504,0
North Dakota,ND,USA,1929,3104614,2
Nebraska,NE,USA,1773,1377529,1
New Hampshire,NH,USA,1494,9288994,2
New Jersey,NJ,USA,19911,2117522,2
New Mexico,NM,USA,328,20201249,2
Nevada,NV,USA,994,10439388,0
New York,NY,USA,19413,779094,1
Ohio,OH,USA,5554,11799448,1
Oklahoma,OK,USA,3770,3959353,1
Oregon,OR,USA,849,4237256,2
Pennsylvania,PA,USA,140,13002700,1
Rhode Island,RI,USA,284,1097379,1
South Carolina,SC,USA,10839,5118425,0
South Dakota,SD,USA,3036,886667,1
Tennessee,TN,USA,14204,6910840,0
Texas,TX,USA,22934,29145505,1
Utah,UT,USA,5827,3271616,1
Virginia,VA,USA,10747,643077,2
Vermont,VT,USA,34,8631393,2
Washington,WA,USA,483,7705281,2
Wisconsin,WI,USA,11062,1793716,1
West Virginia,WV,USA,1590,5893718,1
Wyoming,WY,USA,1750,576851,0
